tutorial_id,start_source_folder,gt_source_folder,source_type,added_files,deleted_files,changed_files,candidate_files
fps_003_create_dynamic_crosshair,FPS002_Crouching,FPS003_CreateDynamicCrosshair,checkpoint,2,2,4,controllers/fps_controller.tscn | environment/WE_test.tres | materials/grid.tres | project.godot | levels/level_003.tscn | scripts/reticle.gd
fps_004_animate_dynamic_crosshair,FPS003_CreateDynamicCrosshair,FPS004_AnimateDynamicCrosshair,checkpoint,3,0,1,project.godot | controllers/scripts/fps_controller.gd.uid | scripts/reticle.gd.uid | shaders/grid.gdshader.uid
fps_005_add_debug_info_panel,FPS004_AnimateDynamicCrosshair,FPS005_AddDebugInfoPanel,checkpoint,3,4,5,controllers/fps_controller.tscn | environment/WE_test.tres | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/debug.gd | ui/themes/debug.tres | ui/themes/debug_panel.tres
fps_006_debug_panel_singleton,FPS005_AddDebugInfoPanel,FPS006_DebugPanelSingleton,checkpoint,1,0,9,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/debug.gd | scripts/reticle.gd | ui/themes/debug.tres | scripts/global.gd
fps_007_movement_state_machine_intro,FPS006_DebugPanelSingleton,FPS007_MovementStateMachineIntro,checkpoint,5,0,9,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/global.gd | ui/themes/debug.tres | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | levels/level_007.tscn
fps_008_state_machine_walking,FPS007_MovementStateMachineIntro,FPS008_StateMachineWalking,checkpoint,1,0,11,controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_003.tscn | levels/level_007.tscn | materials/grid.tres | scripts/reticle.gd | ui/themes/debug.tres | editor/Editor.tres
fps_009_state_machine_sprinting,FPS008_StateMachineWalking,FPS009_StateMachineSprinting,checkpoint,2,0,9,README.md | controllers/fps_controller.tscn | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | controllers/SprintingPlayerState.gd | levels/level_008.tscn
fps_010_state_machine_optimization,FPS009_StateMachineSprinting,FPS010_StateMachineOptimization,checkpoint,1,0,12,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | scripts/state_machine.gd | ui/themes/debug.tres
fps_011_state_machine_crouching,FPS010_StateMachineOptimization,FPS011_StateMachineCrouching,checkpoint,1,0,12,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_002.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres
fps_012_state_machine_sliding,FPS011_StateMachineCrouching,FPS012_StateMachineSliding,checkpoint,2,0,14,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/CrouchingPlayerState.gd | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/level_002.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | scripts/state.gd
