tutorial_id,order_index,title,task_source_type,youtube_urls,video_ids,transcript_paths,start_source_folder,gt_source_folder,added_files,deleted_files,changed_files,total_changes,candidate_files,extraction_priority,suggested_task_count,task_generation_status,notes
fps_002_crouching,2,Crouching,bootstrap,https://www.youtube.com/watch?v=qzncNwdSIkA&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=2,qzncNwdSIkA,metadata/transcripts/fps_002_crouching.txt,FPS002_Crouching,FPS002_Crouching,0,0,0,0,,high,1,pending_review,Bootstrap tutorial with no predecessor snapshot; start and solution both point to the tutorial snapshot.
fps_003_create_dynamic_crosshair,3,Create Dynamic Crosshair + Animate Dynamic Crosshair,pair_merged_duplicate,https://www.youtube.com/watch?v=B-PvZgVdU4o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=3|https://www.youtube.com/watch?v=xI_i2K9kAOw&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=4,B-PvZgVdU4o|xI_i2K9kAOw,metadata/transcripts/fps_003_create_dynamic_crosshair.txt|metadata/transcripts/fps_004_animate_dynamic_crosshair.txt,FPS002_Crouching,FPS003_CreateDynamicCrosshair,2,2,4,8,controllers/fps_controller.tscn | environment/WE_test.tres | materials/grid.tres | project.godot | levels/level_003.tscn | scripts/reticle.gd,high,1,pending_review,Merged duplicate-snapshot tutorial FPS004_AnimateDynamicCrosshair into this task and combined transcript/video provenance.
fps_005_add_debug_info_panel,5,Add Debug Info Panel,pair,https://www.youtube.com/watch?v=aRiwRgJC1K4&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=5,aRiwRgJC1K4,metadata/transcripts/fps_005_add_debug_info_panel.txt,FPS004_AnimateDynamicCrosshair,FPS005_AddDebugInfoPanel,3,4,5,12,controllers/fps_controller.tscn | environment/WE_test.tres | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/debug.gd | ui/themes/debug.tres | ui/themes/debug_panel.tres,medium,1-2,pending_review,
fps_006_debug_panel_singleton,6,Debug Panel Singleton,pair,https://www.youtube.com/watch?v=P-Owt8ifC-s&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=6,P-Owt8ifC-s,metadata/transcripts/fps_006_debug_panel_singleton.txt,FPS005_AddDebugInfoPanel,FPS006_DebugPanelSingleton,1,0,9,10,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/debug.gd | scripts/reticle.gd | ui/themes/debug.tres | scripts/global.gd,medium,1-2,pending_review,
fps_007_movement_state_machine_intro,7,Movement State Machine Intro,pair,https://www.youtube.com/watch?v=VtJXqRsFezY&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=7,VtJXqRsFezY,metadata/transcripts/fps_007_movement_state_machine_intro.txt,FPS006_DebugPanelSingleton,FPS007_MovementStateMachineIntro,5,0,9,14,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_003.tscn | materials/grid.tres | project.godot | scripts/global.gd | ui/themes/debug.tres | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | levels/level_007.tscn,medium,1-2,pending_review,
fps_008_state_machine_walking,8,State Machine Walking,pair,https://www.youtube.com/watch?v=BxBmHNh4j10&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=8,BxBmHNh4j10,metadata/transcripts/fps_008_state_machine_walking.txt,FPS007_MovementStateMachineIntro,FPS008_StateMachineWalking,1,0,11,12,controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_003.tscn | levels/level_007.tscn | materials/grid.tres | scripts/reticle.gd | ui/themes/debug.tres | editor/Editor.tres,medium,1-2,pending_review,
fps_009_state_machine_sprinting,9,State Machine Sprinting,pair,https://www.youtube.com/watch?v=GcQTw0IqF4U&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=9,GcQTw0IqF4U,metadata/transcripts/fps_009_state_machine_sprinting.txt,FPS008_StateMachineWalking,FPS009_StateMachineSprinting,2,0,9,11,README.md | controllers/fps_controller.tscn | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | controllers/SprintingPlayerState.gd | levels/level_008.tscn,medium,1-2,pending_review,
fps_010_state_machine_optimization,10,State Machine Optimization,pair,https://www.youtube.com/watch?v=_sVXjXLK74o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=10,_sVXjXLK74o,metadata/transcripts/fps_010_state_machine_optimization.txt,FPS009_StateMachineSprinting,FPS010_StateMachineOptimization,1,0,12,13,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | scripts/state_machine.gd | ui/themes/debug.tres,medium,1-2,pending_review,
fps_011_state_machine_crouching,11,State Machine Crouching,pair,https://www.youtube.com/watch?v=vH7vFVKpn80&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=11,vH7vFVKpn80,metadata/transcripts/fps_011_state_machine_crouching.txt,FPS010_StateMachineOptimization,FPS011_StateMachineCrouching,1,0,12,13,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_002.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres,medium,1-2,pending_review,
fps_012_state_machine_sliding,12,State Machine Sliding,pair,https://www.youtube.com/watch?v=Ao--ALtrZZg&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=12,Ao--ALtrZZg,metadata/transcripts/fps_012_state_machine_sliding.txt,FPS011_StateMachineCrouching,FPS012_StateMachineSliding,2,0,14,16,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/CrouchingPlayerState.gd | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/level_002.tscn | levels/level_008.tscn | materials/grid.tres | project.godot | scripts/state.gd,low,2-3,pending_review,
