order_index,source_folder,title,youtube_url,channel,video_id
2,FPS002_Crouching,Crouching,https://www.youtube.com/watch?v=qzncNwdSIkA&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=2,,
3,FPS003_CreateDynamicCrosshair,Create Dynamic Crosshair,https://www.youtube.com/watch?v=B-PvZgVdU4o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=3,,
4,FPS004_AnimateDynamicCrosshair,Animate Dynamic Crosshair,https://www.youtube.com/watch?v=xI_i2K9kAOw&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=4,,
5,FPS005_AddDebugInfoPanel,Add Debug Info Panel,https://www.youtube.com/watch?v=aRiwRgJC1K4&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=5,,
6,FPS006_DebugPanelSingleton,Debug Panel Singleton,https://www.youtube.com/watch?v=P-Owt8ifC-s&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=6,,
7,FPS007_MovementStateMachineIntro,Movement State Machine Intro,https://www.youtube.com/watch?v=VtJXqRsFezY&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=7,,
8,FPS008_StateMachineWalking,State Machine Walking,https://www.youtube.com/watch?v=BxBmHNh4j10&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=8,,
9,FPS009_StateMachineSprinting,State Machine Sprinting,https://www.youtube.com/watch?v=GcQTw0IqF4U&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=9,,
10,FPS010_StateMachineOptimization,State Machine Optimization,https://www.youtube.com/watch?v=_sVXjXLK74o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=10,,
11,FPS011_StateMachineCrouching,State Machine Crouching,https://www.youtube.com/watch?v=vH7vFVKpn80&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=11,,
12,FPS012_StateMachineSliding,State Machine Sliding,https://www.youtube.com/watch?v=Ao--ALtrZZg&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=12,,
13,FPS013_StateMachineBasicJump,State Machine Basic Jump,https://www.youtube.com/watch?v=4HI_iOM5LfI&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=13,,
14,FPS014_StateMachineDoubleJump,State Machine Double Jump,https://www.youtube.com/watch?v=pO2N8wNMlSM&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=14,,
15,FPS015_StateMachineJumpStrength,State Machine Jump Strength,https://www.youtube.com/watch?v=4Fwp7A6eiQg&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=15,,
16,FPS016_StateMachineJumpAnimation,State Machine Jump Animation,https://www.youtube.com/watch?v=dtBdJzSQ4FY&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=16,,
17,FPS017_StateMachineFalling,State Machine Falling,https://www.youtube.com/watch?v=p_rFuArPSKs&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=17,,
18,FPS018_WeaponSetupPositioning,Weapon Setup Positioning,https://www.youtube.com/watch?v=LpAxXWBXlsw&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=18,,
19,FPS019_WeaponFOVDepth,Weapon FOV Depth,https://www.youtube.com/watch?v=1WCibEaJFc0&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=19,,
20,FPS020_WeaponModularSystem,Weapon Modular System,https://www.youtube.com/watch?v=SB0QrnI_-IQ&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=20,,
21,FPS021_WeaponSway,Weapon Sway,https://www.youtube.com/watch?v=-XrBJhtFzE8&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=21,,
22,FPS022_WeaponIdleAnimation,Weapon Idle Animation,https://www.youtube.com/watch?v=ARKJSJnwPMs&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=22,,
23,FPS023_WeaponBobbingAnimation,Weapon Bobbing Animation,https://www.youtube.com/watch?v=a5ZZhNG6P2U&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=23,,
24,FPS024_ShootingRaycastingSetup,Shooting Raycasting Setup,https://www.youtube.com/watch?v=uH6yeUUVQdE&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=24,,
25,FPS025_EasyBulletDecals,Easy Bullet Decals,https://www.youtube.com/watch?v=Xt1WsjM9_TI&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=25,,
26,FPS026_ProceduralGunRecoil,Procedural Gun Recoil,https://www.youtube.com/watch?v=adbk8hTfRVM&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=26,,
27,FPS027_ProceduralGunRecoilPartTwo,Procedural Gun Recoil Part Two,https://www.youtube.com/watch?v=hND2zO_tXQ4&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=27,,
28,FPS028_GunMuzzleFlash,Gun Muzzle Flash,https://www.youtube.com/watch?v=K43KQfJlHa4&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=28,,
29,FPS029_SettingUpObjectInteractionInGodot,Setting Up Object Interaction In Godot,https://www.youtube.com/watch?v=9-robprotig&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=29,,
30,FPS030_CreatingAModularInteractionComponent,Creating A Modular Interaction Component,https://www.youtube.com/watch?v=OpaRvCUDr8o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=30,,
31,FPS031_HighlightingInteractableObjectsInGodot,Highlighting Interactable Objects in Godot,https://www.youtube.com/watch?v=5Ub2kvKnuP0&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=31,,
32,FPS032_InteractiveDoorComponentMakeAnFPSInGodot,Interactive Door Component // Make An FPS in Godot,https://www.youtube.com/watch?v=cbnxUUDojQQ&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=32,,
33,FPS033_ContextUIForInteractions,Context UI for Interactions,https://www.youtube.com/watch?v=tbhqWvSA8rk&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=33,,
