task_id,task_number,task_name,validation_status,checks_passed,checks_failed,validation_issues,has_validation_file,- validation,tutorial_source,video_id,video_url,github_repo,categories,human_description,instruction
task_0001,1,Shoot Em Up Quest HUD,PARTIAL_PASS,8,2,Cannot run validation,Yes,Godot Engine v4.6.stable.official.89cea1439 - https://godotengine.org,YouTube: Chevifier - Quest Manager For Godot 4,9tu-Q-T--mY,https://www.youtube.com/watch?v=9tu-Q-T--mY,https://github.com/Chevifier/QuestManager,,Implement Shoot Em Up Quest HUD,"Wire a CanvasLayer quest HUD that registers the Shoot Em Up quest resource, connects the QuestManager step_updated, step_complete, quest_completed, and quest_failed signals, formats incremental and timer step text, and fails the quest whenever the player HP reaches zero."
task_0002,2,Projectile Step Tracker,FAIL,13,4,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Projectile should free itself when leaving the play area; Projectile must react to enemies inside _on_area_entered,YouTube: Chevifier - Quest Manager For Godot 4,9tu-Q-T--mY,https://www.youtube.com/watch?v=9tu-Q-T--mY,https://github.com/Chevifier/QuestManager,,Implement Projectile Step Tracker,"Make the projectile advance the Shoot Em Up quest by calling QuestManager.progress_quest with the kill step each time it overlaps an enemy, queue_free itself after the hit, and ensure it also removes itself when it travels far off screen (50 pixels)."
task_0003,3,River Raid Player Jet Scene,PASS,10,0,,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://w4dbrbdxy2ed - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: AnimatedSprite2D missing 'left' animation",YouTube: CyberPotato - [BETTER SOUND REUPLOAD] How to make River Raid Atari Classic in Godot 4 - Tutorial,PjPDNLBdstw,https://www.youtube.com/watch?v=PjPDNLBdstw,https://github.com/wojciech-bilicki/RiverRaidTutorial,,Implement River Raid Player Jet Scene,"Create a Player scene with a CharacterBody2D root named Player, add an AnimatedSprite2D that autoplay the default animation and includes looping default/left/right jet frames from assets/sprites/sprites-Sheet.png and a non-looping explode sequence from the smoke sprites at assets/sprites/Free Smoke Fx  Pixel 04.png, and attach a 16×16 rectangular CollisionShape2D that fits the jet."
task_0004,4,River Raid Missile Projectile,PASS,10,0,,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://w4dbrbdxy2ed - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: Missile collision_layer must be 4",YouTube: CyberPotato - [BETTER SOUND REUPLOAD] How to make River Raid Atari Classic in Godot 4 - Tutorial,PjPDNLBdstw,https://www.youtube.com/watch?v=PjPDNLBdstw,https://github.com/wojciech-bilicki/RiverRaidTutorial,,Implement River Raid Missile Projectile,"Create a Missile scene with an Area2D root named Missile, set its collision layer to 4 and mask to 26, add a Sprite2D that enables region mode to crop the 4×4 missile sprite from sprites-Sheet.png at region Rect2(69, 0, 4, 4), attach a 4×4 rectangular CollisionShape2D, and include a VisibleOnScreenNotifier2D scaled to Vector2(0.2, 0.2)."
task_0005,5,River Raid Power HUD,PARTIAL_PASS,8,2,,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://w4dbrbdxy2ed - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: ControlPanelRect must be anchored to the bottom (anchor_top & anchor_bottom = 1)",YouTube: CyberPotato - [BETTER SOUND REUPLOAD] How to make River Raid Atari Classic in Godot 4 - Tutorial,PjPDNLBdstw,https://www.youtube.com/watch?v=PjPDNLBdstw,https://github.com/wojciech-bilicki/RiverRaidTutorial,,Implement River Raid Power HUD,"Create a UI scene with a CanvasLayer root named UI. Add a ControlPanelRect ColorRect (with the bottom-wide anchor mode and a custom minimum height of 58) tinted grey (rgba = (0.6, 0.6, 0.6, 1.0)), place Lives: 3 and Points: 0 labels inside it (with names LivesLabel and PointsLabel), and add PowerMeter and PowerIndicator TextureRects inside it that use Fuel-Meter.png and Fuel-Indicator.png respectively with the meter being bottom-anchored and centered. Include a hidden GameOverView CenterContainer containing a ColorRect (with name ColorRect), and add a GAME OVER label inside the ColorRect (with name Label)."
task_0006,6,Unit AI Debug Label,PASS,10,0,,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: BattleUnit must include an FSMDebugLabel child,"YouTube: GodotGameLab - Godot 4 Autobattler Tutorial: RefCounted, FSM & UnitAI (S02E06)",m4Bq_xX4eMo,https://www.youtube.com/watch?v=m4Bq_xX4eMo,https://github.com/guladam/godot_autobattler_course,,Implement Unit AI Debug Label,"In res://scenes/battle_unit/battle_unit.tscn add a Label child named FSMDebugLabel above the sprite (offsets -65,-47 to 65,-29) with centered text reading IDLE, then add a UnitAI node that uses res://scenes/battle_unit/ai/unit_ai.gd and wire its exported debug_label to FSMDebugLabel and actor to the BattleUnit root so the finite state machine component can update the on-screen state indicator."
task_0007,7,CardPile Resource Utilities,PASS,10,0,,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: New CardPile should be empty,YouTube: GodotGameLab - Slay the Spire Clone Godot 4 Tutorial: Stats with Resources (04/08),8MdvvNUrD3w,https://www.youtube.com/watch?v=8MdvvNUrD3w,https://github.com/guladam/deck_builder_tutorial,,Implement CardPile Resource Utilities,"Implement res://scripts/card_pile.gd for the Card Pile resource. Register class_name CardPile, export an Array[Card], and declare the card_pile_size_changed(cards_amount) signal. Provide helpers empty(), draw_card(), add_card(), shuffle(), clear(), and _to_string(). draw_card() must pop the front card, emit the new count, and return the card (or null if empty). add_card() appends a card and emits the new size, shuffle() randomizes the Array in place, clear() empties the pile and emits zero, and _to_string() should list each card as 'index: card_id' on its own line (this should be human readable, so start with 1 index). Use the supplied Card resource for typing."
task_0008,8,Stats UI Overlay,PASS,10,0,,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: StatsUI scene must have a script attached,YouTube: GodotGameLab - Slay the Spire Clone Godot 4 Tutorial: Stats with Resources (04/08),8MdvvNUrD3w,https://www.youtube.com/watch?v=8MdvvNUrD3w,https://github.com/guladam/deck_builder_tutorial,,Implement Stats UI Overlay,"Turn res://scenes/stats_ui.tscn into the StatsUI overlay from the tutorial. Use an HBoxContainer root anchored to the center (about 90×16) with theme res://assets/main_theme.tres and alignment set to Center. Add two child HBoxContainers named Block and Health; set Block's separation override to 0 and Health's to 2. Inside each container create a TextureRect and a Label: BlockImage must use res://assets/sprites/tile_0102.png, HealthImage must use res://assets/sprites/heart.png, and both TextureRects should keep aspect (stretch_mode = 5). Give the labels unique_name_in_owner=true, center their horizontal and vertical alignment, and seed placeholder numbers. Attach res://scripts/stats_ui.gd, register class_name StatsUI, and implement update_stats(stats: Stats) so it writes the block/health values to the labels and hides each container when its value is zero."
task_0009,9,Unsafe Platform Warning Cycle,PASS,10,0,,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:4 - ext_resource, invalid UID: uid://bk0ocudwcker6 - using text path instead: res://scenes/main.tscn\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: AnimationPlayer missing on unsafe platform",YouTube: HullHound - Level up Your Game Development Skills: Learn to Make Frogger in Godot 4 - Part 5,caADorHNFwI,https://www.youtube.com/watch?v=caADorHNFwI,https://github.com/HullHound/Frogger,,Implement Unsafe Platform Warning Cycle,"Clone the SafePlatform scene into an UnsafePlatform that warns players before it drops them. Add an AnimationPlayer with an UnsafeCycle animation that autoplays, keyframe Area2D.modulate through calm white, brighter orange, and a red danger state, and in the same animation toggle Area2D.process_mode to PROCESS_MODE_DISABLED during the red window so the safety area truly disappears."
task_0010,10,Create Pickup Collectible,NO_VALIDATION_FILE,0,0,,No,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://codex0206test - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_PASSED: Pickup collectible scene and script completed\nERROR: 1 RID allocations of type 'P11GodotArea2D' were leaked at exit.\nERROR: 1 RID allocations of type 'P12GodotShape2D' were leaked at exit.\nWARNING: 3 RIDs of type ""CanvasItem"" were leaked.\n   at: _free_rids (servers/rendering/renderer_canvas_cull.cpp:2679)\nERROR: 1 RID allocations of type 'PN13RendererDummy14TextureStorage12DummyTextureE' were leaked at exit.\nWARNING: ObjectDB instances leaked at exit (run with --verbose for details).\n   at: cleanup (core/object/object.cpp:2378)\nERROR: 4 resources still in use at exit (run with --verbose for details).\n   at: clear (core/io/resource.cpp:614)","YouTube: Game Dev Artisan - Adding Collisions: Layers, Detections, and Interactions - Godot Fundamentals",z9d8BU1o3Zw,https://www.youtube.com/watch?v=z9d8BU1o3Zw,https://github.com/Game-Dev-Artisan/godot-fundamentals,,Implement Create Pickup Collectible,"Build res://scenes/entities/world/pickup.tscn with an Area2D root named Pickup that uses res://scripts/entities/world/pickup.gd, add a Sprite2D using assets/sprites/pickups.png, a CollisionShape2D using an 8×8 RectangleShape2D, and an AudioStreamPlayer on the SFX bus that plays assets/audio/sfx/pickup.wav. Connect the root's body_entered signal to _on_body_entered, and in that method ensure Tank bodies call Tank.collect(self) before the pickup plays the audio, waits for it to finish, and queue_frees itself. Instance the pickup in res://scenes/main.tscn with the name 'Pickup' at position (64, 0) with scale (4, 4)."
